"c_He","c_fe","c_feos","c_frecv","c_fcross","sentence_id","delta_joint","delta_joint_inc"
-0.00296490872851751,0.00434951024772201,0.00511951545971034,-0.000810787445431282,-0.00261763231699041,"S001",-0.00218278030750518,0.0081232791587551
-0.0085719766853698,-0.00754465767599699,-0.0122217804656894,-0.0113177514080023,-0.00571553698062188,"S061",-0.0422065025097389,-0.029462556411997
5.459864006363e-05,0.00113583927650862,0.00138270962083653,-0.0035586716050805,-0.000932558944539363,"S059",-0.00362070801126368,-0.00207594572182779
-0.0139751961156684,-0.0063751803159029,-0.0075780211367591,-0.00166917131369093,0.00320924438612846,"S057",-0.0255797716720869,-0.0334451966430018
0.0030400216235289,-0.0242643594505723,-0.0258866136380027,0.00116186487727843,0.00148334276728401,"S014",-0.022030671449295,-0.0334543832976626
0.0195456774264375,-0.0152996164952759,-0.0189667092094741,0.0136444423346389,-0.00826888603008413,"S004",0.0172024276989498,0.0216579979302587
-0.00922149632933722,0.002855841674965,0.00293276961879141,-0.000246696133835322,0.00515750966509199,"S054",-0.00424946876358023,-0.00875857424889692
0.000307731597440908,-0.00182166942330997,-0.00688880380227963,-0.0045956449916682,0.00112587315973145,"S017",-0.00798360497646144,-0.0101660274489945
-0.00147782668928165,-0.00202083444530132,0.00175487054401235,-0.00109313304632186,0.000928518579264348,"S060",-0.00309767762421953,-0.00479798967226741
-0.000905596455180846,0.00317337250724448,0.00298740422327515,0.00166370746061306,0.000436970816584226,"S003",0.00466526029133418,0.00527267282024146
0.00301989641113076,-0.00722092281325803,-0.00639238497872108,0.00361957040230432,-0.00114891057236899,"S006",-0.000332021208693689,6.46286566845511e-05
0.00424799130934406,-0.00817025584247899,-0.00523677921552346,-0.00552059667361715,-0.00709212913020951,"S002",-0.0166586862174769,-0.00764067247136402
-6.8949301206267e-06,-0.00572584813887533,-0.00525015617593039,-0.00808656843828914,-0.00375016543465301,"S062",-0.0212974705503375,-0.00674308796809675
-0.00770712673640706,-0.00682674871121614,-0.00163858078633972,0.00164348201141729,0.00355751632614987,"S007",-0.0115892828305602,-0.0213503164886064
-0.00802846166673055,-0.00890907288326948,-0.0117061090522751,0.00119748892892202,9.70409913771952e-05,"S010",-0.0249134119085636,-0.0248138638224997
-0.000334778970597416,0.00198497476787973,0.00127356243731347,-0.000348380984622976,0.00235288987452198,"S031",0.00360463632700392,-0.000562934413950611
0.00201335462611074,0.00321754947612907,0.00897363019015174,0.000865235907512973,-0.00318707746200908,"S055",0.00576291345617874,0.0178525424934246
0.00718749533164442,0.00422254503042696,0.00543613680085808,-0.000963035644294341,0.00427179164767799,"S013",0.0137003193221411,0.00538438331094104
-0.00322876154431606,0.00469272074562199,0.0086883388944885,-0.00435241188834468,-0.00883450634478056,"S011",-0.0122082912373476,0.0117105071429551
-0.0030295838794987,-0.0130919451048535,-0.0140802707847949,0.00308385275878509,0.00288111863386842,"S008",-0.0130463696755505,-0.0271763823107467
-0.0022416888323018,0.00308577279099231,0.00246476812668694,0.00211149493700047,0.00356878447450648,"S032",0.00625007268629196,0.00132386324035583
-0.000769505167821372,-0.00155974268686543,-7.11088519766978e-05,0.00156427269382275,-0.000126992383921776,"S005",9.6096342053098e-05,-0.00103025940838308
-0.00462362210577116,0.00174285713567368,0.00361130453026015,-0.00768351872066875,0.0030151852998781,"S016",-0.00957676538240948,-0.00618933311355385
0.00449213670716619,-0.0107881508151302,-0.0092843084213543,0.0042435617634784,0.0043701735568773,"S009",-6.40141266869954e-05,-0.0163871288461221
0.00240296706586163,0.00727820550132319,0.00736455244638479,-0.00161200341304246,0.00053087547560482,"S012",0.010431427041522,0.0121352574411207
-0.00776645796757636,0.000585646585128607,0.000245924951152499,-0.00103498572262839,0.00276074009750771,"S053",-0.00723265544947016,0.00230037108333458
0.00474036556940738,-0.00298179730880821,-0.00356267848679548,1.70189632910933e-05,-0.00581303436048142,"S019",-0.00213199870132486,0.00808025787690503
-0.0106373125106034,0.0070800519139087,0.0102058684411754,0.00247166505508667,-0.00316903479005926,"S092",-0.00395533560658867,0.00729537185838991
0.0037153266261325,-0.00352972691806519,-0.00229105565190135,-0.000412507050630229,-0.0036478094518746,"S157",-0.00252542228155117,0.0095581275942247
0.000733269643989787,-0.00570537933862458,-0.00696407489869166,-0.0011740386788468,-0.00387192804366432,"S083",-0.0110246867693086,-0.00221421534066413
0.00152281311966473,0.0106057048570609,0.0130541150962444,0.00312546956311999,-0.000172152037642537,"S155",0.0191160476162235,0.0258566926215498
0.00907386483354378,-0.00207654005741698,0.000384133933899689,0.0035295406788336,0.00019795735627004,"S156",0.0150384946973039,0.00906870837057272
0.00225777598828381,-0.00566980035868414,-0.00591398460547476,-0.000436104751709632,0.00105205796106822,"S089",-0.00296397296759721,-0.00847803317631546
0.00239798135162395,-0.000789650975613565,-0.00388458871741126,0.00104944280988017,-0.00760226715244849,"S095",-0.00737495564538659,0.00622568932154777
-0.00244896883990897,0.0038357990511062,0.0024961626345178,-0.00196171686830837,0.0023385409644836,"S085",0.000385010228373006,-0.0060680532339108
-0.000835637641303455,-0.00222361391766235,-0.00272680604778741,0.000941410800834763,-0.00141787965428097,"S098",-0.00294966795843132,-0.0042376676057545
0.0019170343025896,-0.00212688560739882,-0.00194748914556553,7.87889377800166e-05,-0.00030527868678587,"S158",0.000154277783648293,-0.00153722785132238
0.0081793570550317,0.0108771349241124,0.0171456120284743,0.00504767694678709,0.00431879176290595,"S154",0.034080995710642,0.0294673978609241
0.000844226742904075,-7.00372281112749e-05,-0.000482131625790916,0.00313974682680362,0.000989996826916251,"S101",0.00605938114986393,0.00477235888558758
-0.000326610626926849,-0.00247975334237549,0.000134914312075018,0.00750498232550934,-0.00484433692219244,"S088",0.00107933275576255,0.00939274241874677
0.00422089249774715,-0.00431659519577199,-0.00621535342825741,0.00152303261869768,0.000652911111770571,"S100",0.00202799869410741,-0.00666877015567957
-0.00292029104822766,0.0074711095777652,0.00668439323442738,-0.00480876505019745,0.00766485532634542,"S102",0.00750166112396233,-0.00433381059297844
-0.00103418459286342,0.0037363076631125,0.00241233875018532,-0.000349804977687107,-0.00106677503886132,"S094",0.000851282020886135,0.00753812963344203
0.00949153260196645,-0.00213482415383082,-0.00363691049098702,-0.00348019270589273,-0.00372181369631264,"S093",0.00135879337554501,0.0100539322742901
-0.000618354015822886,0.0041280107654591,0.00446726130338826,0.000797262261543974,-0.000679568004975595,"S159",0.00455885237854625,0.00723212016860786
-0.00179273937004565,0.0071010623657839,0.00822560653355486,0.00317839325288216,0.00511649336763709,"S160",0.0149794291021059,0.00469086906030869
-0.00432956945224472,0.00631942048361767,0.0111275839632813,0.00605575690559723,-0.000407301156424622,"S086",0.0109013259377853,0.0170840359730545
-0.00622967485220993,-0.00101790661098988,-0.00249620602028666,-0.00063735011147914,-0.000985521192803152,"S097",-0.0117023729437784,-0.00848725707572529
-0.00725092973881813,0.0059764966667808,0.0056606773702399,0.00570865072466042,0.00486768306560736,"S161",0.00895985160614665,-0.000870965559415682
0.00791097152707632,0.00556860935353931,0.00830084738785675,0.00346509928722349,0.00383761927859905,"S084",0.0253160434292566,0.0219531919662633
-0.00240278962256113,0.00278361190198395,0.00229535845253803,-0.00238041691921076,0.00277261638906512,"S162",-0.000277586648097072,-0.00587516913530006
-0.000202214192901895,0.00188267761224736,0.00383095030026781,0.000552243450964607,-0.00147296317666767,"S087",0.00246208695394845,0.00515050324088984
-0.00113530116847183,0.00297787891849755,0.00414261178714681,0.00110258510846939,0.00102916631258876,"S153",0.00415811688714296,0.00310838241013522
-0.00268602603336765,0.00506692103649842,0.00663363745380363,0.00102321589547327,0.00167480580107005,"S099",0.00591079443668185,0.00258643367751632
0.00336890442252713,0.00344639622456033,0.00787076128334685,0.000801870118121162,-0.00500311272917586,"S090",0.00490471555467131,0.0167936651489546
0.00916332663268271,0.00986296821653521,0.00859731692395505,-0.00356175322924468,0.0102635529008783,"S096",0.0267866088086979,0.0102928060950309
0.000718062111785045,-0.00391587878415289,-0.00244123270554364,-0.00142211875811338,-0.000992975054014522,"S091",-0.00617316652481159,-0.0101416866767086
0.0116596295448601,-0.00208300810919337,0.0037717914833777,-0.00204396552849229,0.0015671754395179,"S021",0.0136769805446542,0.00540442934517738
-0.000579131214196948,0.00464675521052427,0.00797965234202458,0.00360524867653456,-0.000129744156232681,"S039",0.0110630003963397,0.0158463563732663
0.000308586227081964,0.00195212766569197,0.0033666663017422,0.00246158207829028,0.00225802374945694,"S024",0.00855824128430038,0.00485461990218572
-5.11079864362607e-05,0.00931733319480144,0.00702888990538375,-0.00448646739712477,0.00555005930010088,"S026",0.0104852984242562,0.00755572444595309
0.00311505478563334,-0.00362196715693974,-0.00109640001116973,-0.00324890281388046,-0.00401301399662679,"S018",-0.00790305069333885,-0.00301871811050991
0.00257395439214037,-0.00842181185647672,-0.00979493492778638,-0.00216203029178441,0.00422157544583857,"S038",-0.00627216568590461,-0.0187359533666025
-0.00045162096500384,0.00282438349145375,0.00414546240916935,0.000517265091888985,0.00147288513505517,"S025",0.00470126699369278,0.00399995995675029
0.00289757263879364,0.0102388747025615,0.0126801287942175,0.000312419602471525,-0.00197231209307636,"S029",0.0136427847626965,0.0299742904371973
0.00179003852170445,0.00157308058238725,0.00339671379980966,0.00341330721724953,-0.00327835210996952,"S034",0.00537806174227395,0.0113771433773633
0.00298758154819678,-0.00242773728022461,-0.000725505426752315,0.0006474335430664,0.000650914862643015,"S028",0.00321976835430715,-0.00580666023588527
-0.0011027846863747,0.00292354400643635,0.00870145188006788,-0.00305503512242167,-0.000214070922424314,"S023",-0.00159487006916681,0.00418702560270923
0.000561404989539938,-0.00640955265639898,-0.00724028859134007,-0.000618115849454703,-0.000137148142631549,"S040",-0.00750038947172449,-0.0107074791375326
0.00239052646160332,0.000785695872038472,-0.000564006936326189,6.6647998305136e-05,0.00032908454495395,"S027",0.00403993654525459,0.00487430189137328
-0.0121979299905306,0.00487494888728635,0.006636423616311,0.00440540561481573,0.000849156330966716,"S022",-0.00208144284951928,0.00250588850194045
0.00186518455753859,-0.00170948788610303,0.00145415958484008,0.00503417640542603,-0.00886884660383713,"S033",-0.000743051324852084,0.0141146212334624
-0.00613727072637338,0.00725442369745943,0.000898368895492885,-0.0099230107744599,0.00492167571438284,"S037",-0.00855739955057611,-0.00269116112158607
0.00280244693198983,-0.00463985980611437,-0.00096711000448213,0.0029612235025227,-0.00662878325223781,"S035",-0.00315640230966729,0.00792649347965213
-0.00531695870296489,-0.00431872674611755,-0.00348145715803705,-0.0006292910660195,-0.00801628498407281,"S042",-0.0211020212986592,-0.013645913312814
-0.00299175919780659,6.27125808689843e-05,0.000479011468532464,-0.00307723335856935,-0.000477929434159696,"S133",-0.00749134716567457,-0.00101581320959609
-0.00522035385466446,-0.0124224668581716,-0.0196471923398127,0.0132692847720244,0.000178610813085012,"S132",-0.00771102283731184,-0.0198813823495587
-0.000953398956663465,0.00235819097361634,0.00595063380105998,0.000869131328697925,-0.00300798329706531,"S126",0.000100683962459103,0.00640271642152479
0.00266444898675422,-0.0110733596382878,-0.00836346968889867,0.00401481243525381,0.000194612829190421,"S147",-0.00414323924375393,-0.0111606821665909
-0.000899606922823759,-0.00223262423192394,-0.00280854090175953,-0.000615122122960443,0.00360160204710902,"S145",-0.0011148575865747,-0.0102292752788209
0.00376047675304858,-0.0135237234691454,-0.0159967112375592,0.00215393324897306,-0.00312338914698818,"S146",-0.0108822374753199,-0.0143933789069501
-0.00362032218982922,0.00987557838889319,0.0104296612278891,-0.00540077889397461,0.00276740830323907,"S131",0.00364341219822084,0.0081450541129291
0.0015090594531566,0.0114176125507575,0.0121547290060051,-0.00569655555633619,0.00555769167674103,"S142",0.0144576081983041,0.0098309376740684
-0.00161535883621777,0.00679288623681207,0.00550366685309123,-0.000103043236153511,-0.00056973878227673,"S141",0.00524570325590745,0.00340964707500402
-0.00403504658675491,0.00751572705204362,0.00720255233503098,0.0012386104885147,0.000555002058493681,"S130",0.00483487608926247,0.00901258575197472
0.00534365681455773,0.00583104527965328,-0.000147517429307742,-0.0110139000630674,-0.00283642535113748,"S127",-0.0066120606761646,0.00986766213253887
0.000486262189093978,-0.000713300731854494,-0.00190127432097253,-0.000557515637298112,-0.0030416755975966,"S140",-0.00476051062503791,0.00205839828306353
-0.00227233024735807,0.00103614016974385,0.00112358478323893,0.000325944968995073,0.00291815083292457,"S149",0.00215999598991534,-0.0027776533794891
-0.00591653298189798,0.00597418786121762,0.00387029285412344,8.532499212488e-05,0.00295790875567103,"S148",0.00159980091926148,0.0055070178384311
-0.00446970746197439,0.00122623836319569,-0.00242392251406354,-0.0013532997146829,0.00179486476723101,"S136",-0.00551474865712087,-0.00290908685227687
-0.0017276054770955,0.00599592406549154,0.00743426571741812,0.000693206598900598,0.00125412034797745,"S134",0.00752454984165329,0.00964441905071489
0.0010829140259192,0.00600394659179027,0.00108744356969681,-0.0051026749442844,0.00669552806355744,"S135",0.00667032057881523,-0.00963272416009575
