"sentence_id","delta_attn","delta_attn_inc"
"S001",0.00444193743419108,0.00582430979225879
"S061",-0.0117521660718614,-0.0136078477227342
"S059",0.00235574906444092,0.00257992482833014
"S057",-0.0136259332072002,-0.0169106075157295
"S014",-0.0257114252844453,-0.0265007141027176
"S004",-0.0113109700785183,-0.0109769532979631
"S054",0.0014831641731563,0.00277932808286763
"S017",-0.00264585238793869,-0.002619527698559
"S060",-0.00300286237766378,-0.00205735947748564
"S003",0.00303054308702388,0.0025650844817543
"S006",-0.00686437300537945,-0.0067408014711412
"S002",-0.00589310948541688,-0.00664147985093511
"S062",-0.00479209688777216,-0.00460379106626863
"S007",-0.0137922033055984,-0.0162975143205819
"S010",-0.0115968190047167,-0.0116453235404572
"S031",0.00187322853411431,0.00219184294213748
"S055",0.00313873261247921,0.00339442662171785
"S013",0.00563253447638734,0.00573728016521136
"S011",0.00473988991598095,0.00435329376815452
"S008",-0.0159791528664144,-0.0187334951889964
"S032",0.00291056728841532,0.00285689897930941
"S005",-0.00122538253760607,-0.00149524400044387
"S016",-0.000804582466556125,0.00056871005658099
"S009",-0.00917461316622048,-0.0116334143744641
"S012",0.00909326196656224,0.0109380454561936
"S053",-0.000851614098489106,0.00519379604946713
"S019",-0.00255926495184666,-0.00215559878368388
"S092",0.00143303069259404,0.000175025692130015
"S157",-0.00275464196026731,0.000661756238632849
"S083",-0.00578983701706892,-0.0055148589658427
"S155",0.0103245308244884,0.0125704915914302
"S156",-0.000198829116889732,0.00121610658423399
"S089",-0.00520847601569874,-0.00583306529015393
"S095",-0.00084284177320737,-0.000883947347074754
"S085",0.00258283144882576,0.0033518246201415
"S098",-0.00255551506722784,-0.00603697555095994
"S158",-0.00242837485295055,-0.00276316253197417
"S154",0.0129098240654033,0.0146693300131355
"S101",3.3034645832597e-05,0.00113488218397817
"S088",-0.00194323992801415,-0.00255418404058383
"S100",-0.00314299344409474,-0.00544720857277303
"S102",0.00772421414520719,0.010167393770048
"S094",0.00306595838114032,0.00201905880049513
"S093",0.000975077640312794,0.00226540146186127
"S159",0.00420684628275092,0.00516711074413334
"S160",0.00775623589390584,0.00915128532663334
"S086",0.00613620380861324,0.0071945834204763
"S097",-0.00417679066007226,-0.00538395469467012
"S161",0.00717272587334561,0.00816324336121688
"S084",0.00888218652444361,0.011548465398262
"S162",0.0018839058146598,0.00197747997455111
"S087",0.00282144387097061,0.00398808025127328
"S153",0.00375172992873662,0.00472099830177131
"S099",0.005331380096945,0.00651423750404945
"S090",0.0045397584570217,0.00488651254165728
"S096",0.0117438799073433,0.00981481158990127
"S091",-0.00383561995999082,-0.00600351073787475
"S021",0.001997552256503,0.00434070702121625
"S039",0.00599980363853536,0.00777912575393458
"S024",0.00184097653091753,0.0021948723154066
"S026",0.0098678532637464,0.0112099149334675
"S018",-0.0020052070006964,-0.00271331139207476
"S038",-0.0098963387178812,-0.0098871219158474
"S025",0.00250770261951461,0.00226982546948395
"S029",0.0116869879176527,0.0151577244424084
"S034",0.00309674610328337,0.00402063876021264
"S028",-0.000974380659302776,-0.00384993715588022
"S023",0.00372827807383591,0.0033729995018793
"S040",-0.00759402378990148,-0.00672653326152606
"S027",0.00180231508567474,0.00279085729541828
"S022",-0.00012312188364727,-0.000551848983433079
"S033",-0.00317845178282772,-0.00355614417183348
"S037",0.00369551686503833,0.0044857400347007
"S035",-0.00424891998114973,-0.00425332243538135
"S042",-0.00489087334616656,-0.00878930020819402
"S133",-0.00042237249954602,-0.00172147381264365
"S132",-0.0168434879918151,-0.0194259135528274
"S126",0.00191272572562862,0.0011554856654068
"S147",-0.010221395069464,-0.0116077689796736
"S145",-0.00242590447758761,-0.00241656871975771
"S146",-0.0139426056759469,-0.0160264496113682
"S131",0.00932328165808971,0.012465388878386
"S142",0.0115122833479389,0.0122087551351431
"S141",0.00664465624567656,0.00714828570444803
"S130",0.00531039084301077,0.00636107193331292
"S127",0.00810816400343128,0.0109800705442273
"S140",-0.000784695460218643,-0.0012568515190492
"S149",-0.000279586116956221,8.9096797394328e-05
"S148",0.0067660631185158,0.00852894590432074
"S136",0.000559022643828566,0.00157113101064832
"S134",0.00551458633871815,0.00593863493215685
"S135",0.00741352149250196,0.00880324269953836
"S125",-0.00307725766656897,-0.010797981313061
"S144",-0.0144710995754906,-0.0132878603181992
"S138",0.00554528148254541,0.00614389489988865
"S152",0.0141373492846895,0.0141267019407498
"S151",-0.0021870310052774,-0.0040148292384341
"S150",0.00170776251801885,0.00175083957420075
"S137",-0.00588943729524161,-0.0063400441046213
"S124",-0.0117931786064414,-0.0143919688321956
"S123",-0.0177192806643547,-0.0179668102573094
"S143",0.00220714310803194,0.00250225198654053
"S129",0.00103206429201319,0.00221750222014072
"S139",-0.00320396136681733,-0.00232778792300681
"S020",-0.00685423205474422,-0.00763564684217732
"S015",0.00145154947759907,0.00232719445837559
"S030",-0.00753178236386187,-0.0119486053161408
"S185",-0.0128655063753735,-0.0174073033600413
"S195",0.00623825581127724,0.00702930949857872
"S193",-0.00724140447072075,-0.00578397064337688
"S188",0.00872313033582461,0.00963952990125616
"S200",0.0023002604509228,0.00174888839873688
"S197",-0.0119826469050992,-0.0129625041923924
"S041",-6.68604414166829e-05,-0.00097229731168369
"S198",0.00103057931723138,0.000819153599246114
"S189",-0.0136892592208924,-0.0137113484118065
"S079",-0.00667074865629491,-0.00751272366373401
"S196",-0.00122812805220485,-0.00225035456461398
"S184",0.0186489049348133,0.0199732184467774
"S194",-0.000100033699035329,-0.000206686814520518
"S186",-0.0013484694154835,-0.000385151661320249
"S191",0.00668712729204701,0.00941907184367086
"S182",-0.00102954965233915,-0.000847022355177085
"S112",0.00130347919347762,0.00185662635791117
"S120",-0.00757097734742351,-0.00735783479439389
"S165",0.00300540768522772,0.00282644347574423
"S109",0.0065346093057137,0.00756064657568756
"S111",-0.00519873898689938,-0.00528186343116499
"S121",-0.000884553023505763,-0.00119797029610946
"S164",-0.00272651814478575,-0.00471967773877124
"S118",-0.0101799751698326,-0.0130123825935282
"S163",-0.00921505736848394,-0.0141430182076934
"S108",0.00526869810475772,0.00694624604739469
"S103",-0.0302235354956382,-0.0305869251977726
"S107",0.0133889533693472,0.0151362260351187
"S122",0.0060132602690981,0.00735850962563833
"S116",0.00807791977486061,0.0093049579069302
"S167",0.00631831335419153,0.00863566644096858
"S171",0.00717472396932872,0.00793133313658867
"S166",0.00271939781239305,0.00358150667334123
"S115",0.0257786871207886,0.0311385699973341
"S114",-0.0123108516573487,-0.0120894114478451
"S104",-0.0066412697061855,-0.00781322574200205
"S119",0.00431506127803449,0.00622783601888122
"S106",-0.00371423210968058,-0.00591706744576159
"S110",-0.00146392293445152,-0.00198915379766818
"S169",0.00721832946641121,0.00781121530799189
"S168",0.00238691874592201,0.00274332167676206
"S128",0.00624074344203862,0.00691649352412038
"S190",-0.000482921917736912,-2.34960467007106e-05
"S187",-0.00175174482324514,-0.00265409194544752
"S183",-0.0043809697266568,-0.00393490755309878
"S192",-0.0109019273367009,-0.0125300273601141
"S199",0.0121983128434922,0.0130338941276291
"S058",0.0065866180688644,0.00710053861964255
"S049",-0.00223651261635571,-0.0052179699725885
"S043",0.00806217552434096,0.00907329728009554
"S045",0.00322418678664782,0.00289904569323163
"S113",0.0166314990324059,0.0222801264697008
"S105",0.000617573803199156,0.000957259292100998
"S036",-0.00644006026042376,-0.00793750262830228
